p01;p02;p03;p04;p05;p06;p07;p08;p09;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;Gender
2;4;4;3;4;1;4;2;4;2;5;2;4;4;2;4;2;2;5;4;2;2;2
4;3;4;4;3;4;4;2;3;5;4;4;4;2;1;4;4;2;2;1;2;2;2
3;4;4;5;4;4;4;3;4;5;3;2;2;2;3;4;4;4;4;3;4;3;1
5;5;5;5;4;4;5;4;4;5;5;4;4;3;3;1;5;3;2;2;1;3;2
3;4;4;4;4;3;2;3;4;4;4;4;3;2;2;2;4;4;4;4;2;3;1
2;3;1;4;4;1;1;2;3;1;1;3;3;5;5;4;4;3;4;5;4;4;1
1;2;2;3;4;3;2;2;3;1;2;2;1;4;5;4;3;2;4;4;5;5;1
4;4;4;4;4;2;4;5;5;5;2;5;5;4;4;3;3;4;4;3;1;2;1
4;5;5;5;5;4;4;4;4;4;4;4;4;2;2;3;4;4;2;2;2;2;1
5;5;5;5;4;4;4;3;5;4;4;4;4;3;2;2;3;4;5;5;2;2;2
1;4;2;4;5;4;5;4;4;2;3;4;4;4;4;4;4;4;5;5;4;4;1
5;5;5;5;5;5;4;4;3;5;4;3;4;4;4;4;4;5;4;4;2;2;2
5;4;5;4;5;5;4;5;5;5;4;5;5;3;3;3;5;5;5;5;3;3;2
5;3;5;4;3;2;2;3;3;3;4;3;2;3;3;3;3;3;4;4;2;2;1
1;3;2;4;3;5;5;5;5;5;4;4;4;4;2;2;2;4;2;2;2;2;2
5;4;5;4;3;3;4;4;3;5;4;4;3;5;4;3;5;4;3;3;3;2;2
3;4;3;3;3;2;2;2;3;2;2;2;3;4;5;3;4;4;4;3;2;1;1
4;5;4;4;5;5;5;4;3;5;5;4;3;4;4;5;4;5;4;4;3;3;2
2;4;3;4;2;2;3;4;3;5;4;2;4;2;2;3;4;4;4;4;2;3;1
4;5;4;5;4;2;2;4;2;5;5;4;2;2;2;2;4;5;4;4;2;2;1
3;5;4;4;3;2;3;4;4;5;4;4;2;5;4;4;4;5;4;4;2;2;2
5;2;4;2;2;1;1;4;2;4;2;4;2;2;2;2;4;1;1;1;1;1;1
1;4;3;3;2;2;2;2;2;1;2;2;2;4;4;1;1;3;4;2;4;4;2
5;4;5;4;3;2;2;2;2;5;5;4;3;2;4;4;3;4;3;3;2;2;1
4;5;5;5;5;4;3;5;4;3;3;4;4;5;4;4;5;3;4;3;4;3;2
1;2;2;4;4;2;3;1;2;3;3;2;2;4;5;4;3;2;5;4;5;4;1
4;4;5;5;4;4;5;3;4;3;2;4;3;2;1;2;4;2;3;2;2;1;2
3;4;4;5;4;3;4;4;5;5;4;4;3;4;5;4;5;5;5;4;4;4;2
3;5;5;4;5;3;3;5;3;5;4;4;5;5;5;5;4;2;3;2;2;2;2
4;5;5;5;5;4;4;3;4;5;2;4;3;4;3;3;2;3;4;4;2;3;2
2;4;4;4;5;5;5;4;4;2;4;2;2;2;2;2;4;4;4;4;2;2;1
1;3;1;3;3;2;2;4;2;2;2;2;4;4;4;3;4;4;4;4;2;2;1
4;5;5;5;5;4;4;2;4;5;4;4;4;2;2;2;4;4;3;2;2;2;1
2;4;4;4;3;2;4;4;4;5;2;4;4;2;1;4;2;4;3;3;1;1;1
5;5;5;4;3;3;3;4;4;5;4;4;3;4;4;5;4;4;4;5;2;2;1
2;4;4;4;3;3;3;4;4;4;2;3;3;4;2;4;4;4;4;4;2;2;2
3;3;2;3;2;1;1;2;2;2;3;4;3;4;3;4;2;4;4;4;3;3;1
4;5;5;4;4;4;2;2;3;4;4;2;2;1;2;2;4;4;3;3;1;1;1
5;4;5;4;4;2;2;4;4;5;4;4;4;2;2;2;4;2;3;1;1;1;1
1;3;2;3;4;4;4;4;4;4;2;2;2;4;4;4;4;4;4;4;3;4;2
4;5;5;4;4;4;2;2;3;4;4;2;2;1;2;2;4;4;3;3;1;1;1
1;3;2;3;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;4;2;2;1
2;4;2;4;4;4;4;4;4;3;3;4;2;4;4;4;4;4;4;3;1;2;1
1;4;1;3;3;2;2;4;2;2;1;2;3;4;4;3;4;4;4;5;2;2;1
5;5;5;5;5;5;5;3;4;5;4;4;5;2;2;2;5;5;4;2;2;2;1
5;5;5;5;4;5;2;2;2;5;4;2;2;1;2;2;4;4;4;4;2;1;1
1;4;2;4;4;4;4;4;4;4;1;2;2;4;4;4;4;4;4;4;3;4;1
2;4;4;3;5;3;2;2;3;3;4;3;4;4;5;3;2;2;3;3;3;3;1
1;3;3;4;5;4;1;1;2;1;5;4;5;5;5;2;2;2;3;3;4;3;1
1;4;4;4;4;1;1;2;2;1;4;3;5;5;4;3;2;1;4;3;5;4;1
4;4;3;5;4;4;3;2;2;1;1;2;2;3;3;3;4;4;4;4;5;5;1
3;3;2;3;5;5;5;5;5;4;4;2;2;2;4;4;4;3;5;5;3;3;1
2;2;1;2;4;3;3;3;3;2;2;1;3;5;5;3;3;3;3;3;5;5;1
5;5;5;5;5;4;4;5;5;5;4;5;5;5;5;5;5;4;4;5;5;5;2
5;5;5;5;4;4;4;5;5;4;4;4;5;5;5;5;4;4;4;5;5;5;2
2;5;4;5;5;4;1;4;4;1;4;4;2;4;4;4;2;2;2;2;2;4;1
4;4;5;5;5;4;4;5;4;4;4;5;4;5;5;3;4;3;4;5;4;5;2
3;4;2;3;3;1;1;3;3;2;2;3;1;4;5;1;4;4;5;4;5;5;1
4;5;5;4;5;2;3;4;4;5;5;4;3;4;4;3;4;4;4;4;4;3;2
2;3;4;4;4;1;2;4;4;4;4;4;3;5;5;5;4;5;4;4;5;5;2
4;3;4;5;4;2;3;4;4;3;2;4;4;5;5;4;4;4;5;5;5;4;2
5;5;4;4;5;3;3;4;3;4;4;2;3;5;5;5;3;4;4;4;4;5;2
4;5;4;5;5;4;4;4;4;5;5;5;4;4;5;5;4;5;4;4;4;4;2
5;5;5;4;5;5;5;5;4;5;5;5;4;4;4;4;5;4;4;5;3;3;2
3;4;3;3;4;2;2;3;2;3;4;4;4;4;4;3;3;4;3;4;4;4;2
3;5;3;4;5;5;5;4;5;3;3;4;3;3;4;4;2;4;5;4;3;3;1
4;5;4;3;5;4;5;4;4;4;2;3;2;3;4;3;2;2;4;5;4;3;1
4;4;3;4;4;4;3;3;4;3;3;4;4;4;5;5;3;4;3;4;4;4;2
3;5;4;5;5;4;3;3;4;4;4;4;3;5;4;4;3;3;3;4;4;4;2
4;4;4;4;4;3;3;3;4;3;3;4;3;5;5;4;3;4;4;4;4;4;2
5;5;5;4;5;5;5;4;4;5;4;4;4;3;3;4;4;4;4;5;3;3;2
3;4;3;4;3;2;3;1;4;3;4;2;4;5;4;3;4;4;3;4;5;5;2
3;4;5;4;4;3;3;5;4;4;4;3;4;3;3;3;5;4;5;5;4;3;2
3;5;3;5;5;3;3;3;3;4;4;3;4;4;3;3;3;3;3;3;3;3;2
4;3;4;4;5;5;5;5;4;4;4;5;4;5;4;4;3;4;5;5;3;3;1
