SalesPrice;LotArea;OverallQual;ExterQual;BsmtQual;BsmtTotal;Heating;HeatingQual;CentralAir;FirstFloor;SecondFloor;Bedroom;Kitchen;KitchenQual;TotalRooms;Fireplace;FireplaceQual;GarageCars;GarageArea;GarageQual;WoodDeck;OpenPorch;EnclosedPorch;PoolArea;PoolQua
215000;31770;6;3;3;1080;1;2;1;1656;0;3;1;3;7;2;4;2;528;3;210;62;0;0;0
105000;11622;5;3;3;882;1;3;1;896;0;2;1;3;5;0;0;1;730;3;140;0;0;0;0
172000;14267;6;3;3;1329;1;3;1;1329;0;3;1;4;6;0;0;1;312;3;393;36;0;0;0
244000;11160;7;4;3;2110;1;5;1;2110;0;3;1;5;8;2;3;2;522;3;0;0;0;0;0
189900;13830;5;3;4;928;1;4;1;928;701;3;1;3;6;1;3;2;482;3;212;34;0;0;0
195500;9978;6;3;3;926;1;5;1;926;678;3;1;4;7;1;4;2;470;3;360;36;0;0;0
213500;4920;8;4;4;1338;1;5;1;1338;0;2;1;4;6;0;0;2;582;3;0;0;170;0;0
191500;5005;8;4;4;1280;1;5;1;1280;0;2;1;4;5;0;0;2;506;3;0;82;0;0;0
236500;5389;8;4;4;1595;1;5;1;1616;0;2;1;4;5;1;3;2;608;3;237;152;0;0;0
189000;7500;7;3;3;994;1;4;1;1028;776;3;1;4;7;1;3;2;442;3;140;60;0;0;0
175900;10000;6;3;4;763;1;4;1;763;892;3;1;3;7;1;3;2;440;3;157;84;0;0;0
185000;7980;6;3;4;1168;1;5;1;1187;0;3;1;3;6;0;0;2;420;3;483;21;0;0;0
180400;8402;6;3;4;789;1;4;1;789;676;3;1;3;7;1;4;2;393;3;0;75;0;0;0
171500;10176;7;3;4;1300;1;4;1;1341;0;2;1;4;5;1;1;2;506;3;192;0;0;0;0
212000;6820;8;4;4;1488;1;3;1;1502;0;1;1;4;4;0;0;2;528;3;0;54;0;0;0
538000;53504;8;5;4;1650;1;5;1;1690;1589;4;1;5;12;1;4;3;841;3;503;36;0;0;0
164000;12134;8;4;4;559;1;4;1;1080;672;4;1;3;8;0;0;2;492;3;325;12;0;0;0
394432;11394;9;4;5;1856;1;5;1;1856;0;1;1;5;8;1;5;3;834;3;113;0;0;0;0
141000;19138;4;3;3;864;1;5;1;864;0;2;1;3;4;0;0;2;400;3;0;0;0;0;0
210000;13175;6;3;4;1542;1;3;1;2073;0;3;1;3;7;2;3;2;500;3;349;0;0;0;0
190000;11751;6;3;4;1844;1;5;1;1844;0;3;1;3;7;1;3;2;546;3;0;122;0;0;0
170000;10625;7;3;4;1053;1;3;1;1173;0;3;1;4;6;2;3;2;528;3;0;120;0;0;0
216000;7500;7;4;4;814;1;5;1;814;860;3;1;4;7;0;0;2;663;3;0;96;0;0;0
149000;11241;6;3;3;1004;1;5;1;1004;0;2;1;3;5;1;3;2;480;3;0;0;0;0;0
149900;12537;5;3;3;1078;1;5;1;1078;0;3;1;3;6;1;2;2;500;3;0;0;0;0;0
142000;8450;5;3;3;1056;1;5;1;1056;0;3;1;3;6;1;2;1;304;3;0;85;184;0;0
126000;8400;4;3;3;882;1;3;1;882;0;2;1;3;4;0;0;2;525;3;240;0;0;0;0
115000;10500;4;3;3;864;1;3;1;864;0;3;1;3;5;1;1;0;0;0;0;0;0;0;0
184000;5858;7;4;4;1405;1;5;1;1337;0;2;1;4;5;1;2;2;511;3;203;68;0;0;0
96000;1680;6;3;3;483;1;3;1;483;504;2;1;3;5;0;0;1;264;3;275;0;0;0;0
105500;1680;5;3;3;525;1;3;1;525;567;3;1;3;6;0;0;1;320;3;0;0;0;0;0
88000;1680;6;3;3;525;1;3;1;525;567;3;1;3;6;0;0;1;264;3;0;0;0;0;0
127500;4043;6;3;4;1069;1;3;1;1069;0;2;1;3;4;1;2;2;440;3;0;55;0;0;0
149900;2280;6;3;3;855;1;3;1;855;601;3;1;4;6;1;3;2;440;3;173;0;0;0;0
120000;2280;7;3;4;836;1;5;1;836;0;2;1;3;4;0;0;1;308;3;0;30;0;0;0
146000;2280;6;3;4;855;1;2;1;855;601;3;1;3;7;1;3;2;440;3;26;0;0;0;0
376162;12858;9;5;5;1590;1;5;1;1627;707;3;1;5;10;1;4;3;751;3;144;133;0;0;0
306000;11478;8;4;5;1704;1;5;1;1704;0;3;1;4;7;1;4;3;772;3;0;50;0;0;0
395192;10159;9;5;5;1930;1;5;1;1940;0;3;1;5;8;1;4;3;606;3;168;95;0;0;0
290941;12883;8;4;4;1544;1;5;1;1544;0;3;1;4;7;0;0;3;868;3;0;35;0;0;0
220000;12182;7;4;4;1541;1;5;1;1541;0;3;1;4;7;1;4;2;532;3;0;70;0;0;0
275000;11520;9;4;5;1698;1;5;1;1698;0;3;1;5;7;1;4;3;730;3;192;74;0;0;0
259000;14122;8;4;5;1822;1;5;1;1822;0;3;1;5;8;1;4;3;678;3;0;119;0;0;0
214000;10171;7;4;4;1517;1;5;1;1535;0;3;1;4;7;0;0;2;532;3;0;0;0;0;0
224000;6371;7;4;4;1358;1;5;1;1358;0;2;1;4;6;1;4;2;484;3;192;35;0;0;0
500000;14300;9;5;5;2846;1;5;1;2696;0;3;1;5;10;2;4;3;958;3;220;150;0;0;0
320000;13650;8;4;4;1671;1;5;1;1687;563;3;1;4;7;1;5;3;756;3;238;130;0;0;0
319900;7658;9;5;5;1752;1;5;1;1752;0;2;1;5;6;1;4;2;576;3;196;82;0;0;0
205000;7132;8;4;4;1370;1;5;1;1370;0;2;1;4;6;1;4;2;484;3;120;49;0;0;0
175500;2628;7;4;4;764;1;5;1;764;862;2;1;4;6;0;0;2;474;3;0;27;0;0;0
199500;18494;6;4;4;1324;1;5;1;1324;0;3;1;4;6;0;0;2;430;3;36;23;0;0;0
160000;3203;7;4;4;1145;1;5;1;1145;0;2;1;4;6;0;0;2;437;3;100;116;0;0;0
192000;3182;8;4;4;1256;1;5;1;1269;0;2;1;4;6;1;3;2;430;3;146;20;0;0;0
184500;13300;7;4;4;384;1;5;1;744;630;3;1;4;7;1;4;2;400;3;100;0;0;0;0
216500;7851;6;4;4;860;1;5;1;860;1100;4;1;4;8;2;3;2;440;3;288;48;0;0;0
185088;8577;7;4;4;847;1;5;1;847;886;3;1;4;7;1;4;2;433;3;144;48;0;0;0
180000;7750;7;3;4;384;1;5;1;774;656;3;1;3;7;1;3;2;400;3;180;0;0;0;0
222500;9505;7;4;4;884;1;5;1;884;1151;3;1;4;8;1;4;2;434;3;144;48;0;0;0
333168;14774;9;4;4;1393;1;5;1;1422;1177;4;1;4;10;1;3;3;779;3;668;30;0;0;0
355000;17433;8;4;5;1629;1;5;1;1645;830;4;1;4;7;1;3;3;962;3;23;172;0;0;0
260400;10593;7;4;4;1720;1;5;1;1720;0;3;1;4;7;1;3;2;527;3;240;56;154;0;0
325000;12256;8;4;5;1463;1;5;1;1500;1122;3;1;4;9;2;3;2;712;3;186;32;0;0;0
290000;11764;8;4;4;1152;1;5;1;1164;1106;4;1;4;9;1;4;3;671;3;132;57;0;0;0
221000;16770;7;4;4;1195;1;4;1;1195;644;4;1;3;7;0;0;2;486;3;0;81;0;0;0
410000;14720;8;4;4;2033;1;5;1;2053;1185;4;1;4;9;1;5;3;666;3;283;86;0;0;0
204500;9215;7;4;4;1218;1;5;1;1218;0;2;1;4;4;0;0;2;676;3;0;136;0;0;0
215200;8640;7;3;4;756;1;5;1;764;783;3;1;4;7;0;0;2;614;3;169;45;0;0;0
262500;9000;8;4;4;1566;1;5;1;1566;0;3;1;4;7;0;0;2;750;3;144;168;0;0;0
254900;12552;7;4;4;991;1;5;1;991;956;3;1;4;8;1;4;2;678;3;0;136;0;0;0
271500;10440;6;4;5;1468;1;5;1;1468;0;2;1;4;6;1;4;2;528;3;0;102;0;0;0
233000;10142;7;4;4;956;1;5;1;956;1128;4;1;4;8;0;0;2;618;3;0;45;0;0;0
181000;11920;7;4;4;831;1;5;1;831;828;3;1;4;8;0;0;2;484;3;144;68;0;0;0
205000;8880;7;4;4;948;1;5;1;1222;888;3;1;4;8;2;2;2;463;3;0;130;0;0;0
143000;8012;6;3;4;923;1;3;1;923;0;2;1;3;5;1;3;1;264;3;80;0;0;0;0
189000;11218;6;4;4;1055;1;5;1;1055;790;3;1;4;8;1;3;2;462;3;635;104;0;0;0
99500;7892;6;3;4;918;1;3;1;918;0;2;1;3;5;1;3;1;264;3;28;0;0;0;0
125000;7175;6;3;4;744;1;3;1;752;0;2;1;3;4;0;0;1;264;3;353;0;0;0;0
