Sales_SQFT;SQFT;Seats_Inside;Seats_Outside;Mean_Age;Sales_Person;Sales_Salad;Sales_Rice;Alcohol_Prctg;Water_Prctg;Soft_Drinks_Prctg;Protein_Prctg;House_Dishes_Prctg;Bread_Prctg;Desert_Prctg
701,97;2354;66;18;34,4;6,81;49,4;30,8;1,05;4,93;3,62;9,51;4,79;1,32;1,96
209,93;2604;69;16;41,2;7,57;31,3;8,1;0;5,04;5,04;11,45;6,22;1,1;1,62
364,92;2453;67;10;40,3;6,89;23,9;13;0,69;6,51;2,33;9,87;5,52;2,16;1,62
443,04;2340;70;4;35,4;7,13;30,7;19;0,55;6,39;3,89;11,08;2,9;1,69;1,71
399,2;2500;78;0;31,5;7,04;29;27,7;0,49;6,07;2,62;8,76;13,3;2,35;2,4
264,64;2806;62;28;36,3;6,93;35,3;17,9;1,34;4,25;3,52;9,63;3,77;0,82;2,92
571,59;2250;70;28;35,1;7,11;45,4;35,5;0,63;6,33;3,77;11,04;2,75;1,4;2,67
642,25;2400;84;29;37,6;7,13;72,4;31,5;1,03;4,67;3,48;11,17;4,94;1,09;2,09
461,45;2709;68;22;34,9;6,58;29,4;17,2;0,64;6,97;3,31;7,79;5,8;2,56;1,61
638,82;1990;60;42;34,8;6,77;37,8;18,9;0,86;7,41;3,5;7,8;5,71;1,95;1,67
484,38;2392;80;36;36,2;6,66;28;14,4;0,78;6,72;3,27;8,4;6,06;2,04;1,51
581,09;2408;64;32;32,2;7,03;44,6;27,7;1,16;5,3;3,34;8,4;12,27;2,21;1,85
267,71;2627;80;22;30,9;7,03;20,9;11,2;1,12;5,83;2,81;10,11;6,38;2,07;2,02
572,84;2500;88;78;37,7;7;56,6;33,3;0,52;6,15;3,2;11,15;2,55;1,27;2,2
586,48;1986;42;35;34,3;7,38;51,9;31,7;0,94;5,08;3,48;12,1;3,16;0,97;2,61
368,73;2500;68;32;32,4;7,18;23,2;19,8;0,72;5,87;3,31;9,48;13,83;2,81;1,8
351,47;2668;80;48;32,1;7,35;40,7;19,9;0,88;5,91;3,81;11,75;4,36;1,02;2,25
458,24;2517;84;32;31,4;6,95;33,7;18,4;0,77;5,83;2,24;9,53;9,72;1,9;1,66
987,12;1251;35;27;30,4;7,02;43,5;27,3;0,97;4,15;4,52;9,81;11,09;0,82;2,09
357,45;2998;84;24;33,9;6,85;24,2;14,7;0,6;6,85;3,14;8,87;7,27;2,53;1,79
405,77;2625;78;16;35,6;7,16;33,8;20,3;1,38;6,13;3,73;9,77;8,15;1,1;1,53
680,8;2300;80;39;35,9;6,99;53,3;47,6;0,75;5,54;4,16;9,93;8,88;1,31;2,78
368,02;2761;70;70;33,6;7,28;37,3;22,5;0,76;5,66;3,06;12,11;4,68;0,99;2,14
303,95;2764;76;33;37,9;7,07;29,3;21,4;0,51;5,2;3,18;12,1;3,03;1,44;2,46
393,9;2430;56;12;40,6;7,05;38,9;25,1;0,82;5,5;3,56;11,06;2,88;1,27;2,72
562,12;2154;65;32;37,7;6,54;28,6;17,7;0,77;5,35;3,46;8,68;3,6;2,04;1,95
494,88;2400;62;0;36,4;6,7;28,9;13,9;1,08;8,19;4,11;7,4;6,44;2,42;1,5
310,07;2430;66;20;40,9;6,91;29,8;15,8;0,6;6,37;3,94;9,85;2,82;1,52;2,13
373,46;2549;76;24;35;7,58;26,9;19,6;0,89;5,9;5,52;10;14,94;1,32;2,08
235,81;2500;92;36;26,4;7,03;13,9;11,4;0;6,84;2,76;9,71;10,79;2,43;1,84
413,08;3653;112;34;37,1;6,84;48,9;20,8;1,18;6,02;3,13;8,12;6,76;1,87;1,73
625,22;2440;66;15;30,3;6,94;58,6;30,2;0,96;4,34;3,79;9,73;10,23;0,78;2,2
274,3;2600;70;28;31,3;7,07;24,1;15,6;0,48;5,4;3,81;11,83;4,8;1,81;2,1
542,62;2160;60;15;29,6;7;53,5;26,9;1,31;3,28;4,79;10,38;11,04;0,67;2,34
178,56;2800;86;10;32,9;7,08;12,5;10,2;0,65;7,08;3,06;10,1;5,68;2,14;2,11
375,33;2757;76;0;40,7;6,75;28,6;14,6;1,1;7,4;3,8;7,66;5,82;2,23;1,79
329,09;2450;68;16;29,3;6,81;17,6;8,4;1,1;7,11;2,93;8,67;7,42;3,5;1,26
297,37;2400;64;0;37,3;7,64;28,3;12,1;0,85;5,61;3,96;12,24;4,58;1,14;1,76
323,17;2270;52;36;39,8;6,62;19,8;11,3;1,06;7,59;3,37;7,49;5,66;2,11;1,63
468,84;2800;78;26;33,9;6,76;29,7;17,3;0,71;7,44;3,13;7,95;6,81;3,24;1,63
352,57;2520;64;28;35;7,11;34,5;19,9;0,59;6,24;3,45;11,51;2,84;1,34;2,4
380,34;2487;82;32;35;7,05;44,4;27;1,21;4,33;3,66;11,06;3,54;0,89;2,69
398,12;2629;86;30;35,9;6,9;36,8;26,4;0,65;5,73;3,38;10,67;2,64;1,52;2,44
312,15;3200;92;16;33;7,17;33,5;24,8;0,61;5,87;3,17;12,46;3,05;1,5;2,38
452,16;2335;72;10;30,9;6,75;30,4;14,1;0,66;5,5;3,06;8,4;7,14;1,95;1,82
698,64;2500;90;24;38,5;7,45;74,6;23,1;0,86;6,65;3,39;10,26;4,83;1,71;1,45
367,19;2449;64;20;40,5;7;23,9;17;0,66;8,17;3,27;9,01;5,72;2,38;1,86
431,93;2625;80;20;32,1;6,96;31,2;18,3;0,67;7,41;3,06;9,05;5,24;2,57;1,77
367,06;3150;102;30;34,8;7,3;42,8;22,9;0,89;5,27;4,23;11,63;3,5;1,62;1,94
400,53;2625;70;26;38;6,96;23,2;14,3;0,66;6,5;4,08;9,29;6,09;2,87;1,62
414,36;2741;62;26;37;6,71;32,8;18,6;0,74;7,15;3,36;8,2;4,12;1,91;1,8
481,11;2500;68;20;34,7;6,82;26,8;18,8;0,81;6,72;3,11;8,37;5,98;2,8;1,53
538,06;2450;74;24;36,4;6,58;25;21,6;0,66;7,15;3,22;7,82;5,32;2,26;1,92
330,48;2986;84;14;36,8;7,56;23,9;12,1;1,9;5,52;6,23;9,63;20,38;0,81;1,59
249,93;2967;70;32;32,2;6,98;29,1;17,6;0,76;5,64;3,26;10,47;4,99;1,25;2,46
291,87;3000;96;32;34,8;7,28;31,5;16,9;1,1;6,69;4,08;9,34;12,51;1,22;2,14
517,4;2500;70;22;36,7;6,76;33,8;18,8;0,81;8,37;3,78;7,43;5,8;2,51;1,65
551,58;2600;76;32;33,8;6,92;47;38,5;0,88;4,89;3,18;10,38;2,41;1,42;2,53
386,81;2800;62;28;34,2;6,73;19,1;15,6;0,45;7,56;3,34;8,73;5,87;3,01;1,6
427,5;2986;92;23;39;6,91;52,8;34,7;0,76;6,98;3,97;9,41;2,68;1,41;2,45
453,94;2223;60;20;34,9;6,77;34;24;0,57;5,4;3,44;10,15;2,46;1,41;2,58
512,46;2300;54;15;39,3;7,33;44,5;14,3;1,18;5,32;4,5;9,95;4,44;1,43;1,27
345,27;3799;110;23;35,6;7,87;54,9;15,1;1,52;6,49;3,85;11,78;6,22;1,06;1,27
234,04;2700;78;0;36;6,95;18,8;13,2;0,92;7,65;3,88;8,27;5,68;2,7;2,03
348,33;2650;72;31;41,1;7,33;22,4;17,1;0,69;7,3;4,02;9,87;6,97;2,22;1,76
348,47;2500;74;29;24,7;6,95;14,7;13,1;0;6,15;2,14;10,57;11,27;2,32;1,73
294,95;2994;94;0;40,5;7,21;26,2;12,4;0,95;6,72;4,56;8,76;17,97;0,76;1,56
