p01;p02;p03;p04;p05;p06;p07;p08;p09;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;Gender;MLR;DA;LR;MLR2
2;4;4;3;4;1;4;2;4;2;5;2;4;4;2;4;2;2;5;4;2;2;2;1,907865448;2;2;1,622267412
4;3;4;4;3;4;4;2;3;5;4;4;4;2;1;4;4;2;2;1;2;2;2;1,370288493;2;2;1,51384111
3;4;4;5;4;4;4;3;4;5;3;2;2;2;3;4;4;4;4;3;4;3;1;1,133111095;1;1;1,371756247
5;5;5;5;4;4;5;4;4;5;5;4;4;3;3;1;5;3;2;2;1;3;2;1,721538805;1;1;1,468703482
3;4;4;4;4;3;2;3;4;4;4;4;3;2;2;2;4;4;4;4;2;3;1;1,066353255;1;1;1,204467539
2;3;1;4;4;1;1;2;3;1;1;3;3;5;5;4;4;3;4;5;4;4;1;1,09914753;1;1;1,134544793
1;2;2;3;4;3;2;2;3;1;2;2;1;4;5;4;3;2;4;4;5;5;1;1,031409586;1;1;1,04518993
4;4;4;4;4;2;4;5;5;5;2;5;5;4;4;3;3;4;4;3;1;2;1;1,670688051;1;1;1,487015914
4;5;5;5;5;4;4;4;4;4;4;4;4;2;2;3;4;4;2;2;2;2;1;1,419371407;1;1;1,3262904
5;5;5;5;4;4;4;3;5;4;4;4;4;3;2;2;3;4;5;5;2;2;2;1,747454234;2;2;1,655494801
1;4;2;4;5;4;5;4;4;2;3;4;4;4;4;4;4;4;5;5;4;4;1;1,428018094;1;1;1,236536826
5;5;5;5;5;5;4;4;3;5;4;3;4;4;4;4;4;5;4;4;2;2;2;1,838359664;2;2;1,726865451
5;4;5;4;5;5;4;5;5;5;4;5;5;3;3;3;5;5;5;5;3;3;2;1,628865536;2;2;1,704756834
5;3;5;4;3;2;2;3;3;3;4;3;2;3;3;3;3;3;4;4;2;2;1;1,443518996;1;1;1,34612123
1;3;2;4;3;5;5;5;5;5;4;4;4;4;2;2;2;4;2;2;2;2;2;1,665195491;2;2;1,739535081
5;4;5;4;3;3;4;4;3;5;4;4;3;5;4;3;5;4;3;3;3;2;2;2,166442491;2;2;2,174096528
3;4;3;3;3;2;2;2;3;2;2;2;3;4;5;3;4;4;4;3;2;1;1;1,1990812;1;1;0,933237228
4;5;4;4;5;5;5;4;3;5;5;4;3;4;4;5;4;5;4;4;3;3;2;1,76336132;2;2;1,723069265
2;4;3;4;2;2;3;4;3;5;4;2;4;2;2;3;4;4;4;4;2;3;1;0,991354911;1;1;1,202949141
4;5;4;5;4;2;2;4;2;5;5;4;2;2;2;2;4;5;4;4;2;2;1;1,066353255;1;1;1,324772003
3;5;4;4;3;2;3;4;4;5;4;4;2;5;4;4;4;5;4;4;2;2;2;1,906097608;2;2;1,93424699
5;2;4;2;2;1;1;4;2;4;2;4;2;2;2;2;4;1;1;1;1;1;1;0,973679985;1;1;1,086440863
1;4;3;3;2;2;2;2;2;1;2;2;2;4;4;1;1;3;4;2;4;4;2;1,317669898;1;1;1,238055223
5;4;5;4;3;2;2;2;2;5;5;4;3;2;4;4;3;4;3;3;2;2;1;0,996847471;1;1;1,06845665
4;5;5;5;5;4;3;5;4;3;3;4;4;5;4;4;5;3;4;3;4;3;2;2,073769221;2;2;2,051514275
1;2;2;4;4;2;3;1;2;3;3;2;2;4;5;4;3;2;5;4;5;4;1;1,124082856;1;1;1,285798858
4;4;5;5;4;4;5;3;4;3;2;4;3;2;1;2;4;2;3;2;2;1;2;1,630633376;1;1;1,395055044
3;4;4;5;4;3;4;4;5;5;4;4;3;4;5;4;5;5;5;4;4;4;2;1,552099352;2;2;1,652026834
3;5;5;4;5;3;3;5;3;5;4;4;5;5;5;5;4;2;3;2;2;2;2;1,955180523;2;2;1,867000744
4;5;5;5;5;4;4;3;4;5;2;4;3;4;3;3;2;3;4;4;2;3;2;1,956948363;2;2;1,915934559
2;4;4;4;5;5;5;4;4;2;4;2;2;2;2;2;4;4;4;4;2;2;1;1,344373064;1;1;0,963858611
1;3;1;3;3;2;2;4;2;2;2;2;4;4;4;3;4;4;4;4;2;2;1;0,982326672;1;1;0,878660612
4;5;5;5;5;4;4;2;4;5;4;4;4;2;2;2;4;4;3;2;2;2;1;1,419371407;1;1;1,446594865
2;4;4;4;3;2;4;4;4;5;2;4;4;2;1;4;2;4;3;3;1;1;1;1,370288493;1;1;1,395814435
5;5;5;4;3;3;3;4;4;5;4;4;3;4;4;5;4;4;4;5;2;2;1;1,745686394;2;2;1,726865451
2;4;4;4;3;3;3;4;4;4;2;3;3;4;2;4;4;4;4;4;2;2;2;1,815192179;2;2;1,86287634
3;3;2;3;2;1;1;2;2;2;3;4;3;4;3;4;2;4;4;4;3;3;1;1,175913714;1;1;1,307579257
4;5;5;4;4;4;2;2;3;4;4;2;2;1;2;2;4;4;3;3;1;1;1;0,905942041;1;1;0,879059324
5;4;5;4;4;2;2;4;4;5;4;4;4;2;2;2;4;2;3;1;1;1;1;1,234024868;1;1;1,328568189
1;3;2;3;4;4;4;4;4;4;2;2;2;4;4;4;4;4;4;4;3;4;2;1,335344824;1;1;1,359119078
4;5;5;4;4;4;2;2;3;4;4;2;2;1;2;2;4;4;3;3;1;1;1;0,905942041;1;1;0,879059324
1;3;2;3;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;4;2;2;1;1,335344824;1;1;1,241092402
2;4;2;4;4;4;4;4;4;3;3;4;2;4;4;4;4;4;4;3;1;2;1;1,335344824;1;1;1,002761262
1;4;1;3;3;2;2;4;2;2;1;2;3;4;4;3;4;4;4;5;2;2;1;0,982326672;1;1;0,878660612
5;5;5;5;5;5;5;3;4;5;4;4;5;2;2;2;5;5;4;2;2;2;1;1,512044677;1;1;1,446594865
5;5;5;5;4;5;2;2;2;5;4;2;2;1;2;2;4;4;4;4;2;1;1;0,905942041;1;1;1,117390464
1;4;2;4;4;4;4;4;4;4;1;2;2;4;4;4;4;4;4;4;3;4;1;1,335344824;1;1;1,359119078
2;4;4;3;5;3;2;2;3;3;4;3;4;4;5;3;2;2;3;3;3;3;1;1,366752813;1;1;1,29339123
1;3;3;4;5;4;1;1;2;1;5;4;5;5;5;2;2;2;3;3;4;3;1;1,434490757;1;1;1,378190516
1;4;4;4;4;1;1;2;2;1;4;3;5;5;4;3;2;1;4;3;5;4;1;1,720751069;2;2;1,807109161
4;4;3;5;4;4;3;2;2;1;1;2;2;3;3;3;4;4;4;4;5;5;1;1,20084904;1;1;1,215946606
3;3;2;3;5;5;5;5;5;4;4;2;2;2;4;4;4;3;5;5;3;3;1;0,77185244;1;1;0,700710277
2;2;1;2;4;3;3;3;3;2;2;1;3;5;5;3;3;3;3;3;5;5;1;1,28449407;1;1;1,372875933
5;5;5;5;5;4;4;5;5;5;4;5;5;5;5;5;5;4;4;5;5;5;2;2,047853792;2;2;2,221080772
5;5;5;5;4;4;4;5;5;4;4;4;5;5;5;5;4;4;4;5;5;5;2;2,047853792;2;2;2,100776308
